Date,Donors,AvgTemp,CPI,Budget,Sales,NewResidentialConstruction(Thousands),HousingUnitPermits(Thousands),HousingUnits,Adjusted Sales,AverageContrusctionHoursWorked,NewHomeSales(Thousands),NewHomeSales,AdjustedDonors
1/1/2019,34698,35.9,251.712,1292132,1557361,"1,261",87,87000,1557361,39.7,49,49000,34698
2/1/2019,27533,39.9,252.776,1271468,1432247,"1,287",80,80000,1432247,38.6,57,57000,27533
3/1/2019,36468,50.2,254.202,1421717,1667795,"1,305",98.2,98200,1667795,39.3,68,68000,36468
4/1/2019,32788,57.4,255.548,1348579,1530041,"1,311",116.6,116600,1530041,39,64,64000,32788
5/1/2019,39674,61.6,256.092,1336206,1589136,"1,347",118.1,118100,1589136,39.1,56,56000,39674
6/1/2019,39018,73.8,256.143,1300606,1524936,"1,315",115.1,115100,1524936,39.4,66,66000,39018
7/1/2019,40872,80.7,256.571,1315121,1559231,"1,352",114.2,114200,1559231,39.1,55,55000,40872
8/1/2019,41610,79.6,256.558,1284955,1563199,"1,489",121,121000,1563199,39.3,57,57000,41610
9/1/2019,38280,73.2,256.759,1271344,1577943,"1,474",113.2,113200,1577943,39.8,56,56000,38280
10/1/2019,37174,55.4,257.346,1462090,1726964,"1,525",114.8,114800,1726964,39.3,55,55000,37174
11/1/2019,30216,44.1,257.208,1259349,1422511,"1,527",103.4,103400,1422511,39,50,50000,30216
12/1/2019,37686,37.6,256.974,1061104,1331908,"1,451",108.3,108300,1331908,38.8,49,49000,37686
1/1/2020,40231,37.9,257.971,1313837,1615968,"1,507",113.1,113100,1615968,39,59,59000,37441
2/1/2020,32958,40.8,258.678,1241021,1535741,"1,442",111.6,111600,1535741,39.1,63,63000,29211
3/1/2020,23019,51.2,258.115,1421398,891633,"1,358",104.5,104500,1687165,39,59,59000,35808
4/1/2020,0,58.4,256.389,1330272,0,"1,066",84.9,84900,1576892,38.1,52,52000,34600
5/1/2020,28775,69.7,256.394,1381563,702233,"1,260",95.1,95100,1584637,38.8,64,64000,39671
6/1/2020,49075,76.4,257.797,1298721,1396191,"1,338",118.8,118800,1529818,39,79,79000,38778
7/1/2020,44652,80.7,259.101,1310219,1424976,"1,546",138.7,138700,1579979,39,85,85000,42560
8/1/2020,65201,80.8,259.918,1268964,1493865,"1,529",122.5,122500,1570519,39.1,81,81000,41066
9/1/2020,39772,69,260.28,1160394,1473574,"1,624",126.3,126300,1586850,38.9,77,77000,36230
10/1/2020,37015,59.6,260.388,1321994,1408769,"1,613",131.2,131200,1776183,39,78,78000,35580
11/1/2020,19265,49.1,260.229,1117958,649442,"1,714",117.8,117800,1484295,39.1,61,61000,31974
12/1/2020,37903,35.5,260.474,1114515,1261396,"1,744",115.1,115100,1418247,39,63,63000,36267
1/1/2021,40183,37.3,261.582,1232691,1529711,"1,883",115.2,115200,1529711,39.1,77,77000,40183
2/1/2021,30889,40.4,263.014,1208343,1427871,"1,715",102.1,102100,1427871,38.2,70,70000,30889
3/1/2021,35148,47.6,264.877,1311383,1706535,"1,732",140.6,140600,1706535,39.4,83,83000,35148
4/1/2021,36412,57.3,267.054,1253121,1623743,"1,738",135.5,135500,1623743,39.3,74,74000,36412
