Account Description,Debit Amount,Credit Amount,Donors,date
ROS Donors,783.00000,40.00000,743.00,2021-10-01
JT Donors,746.00000,0.00000,746.00,2021-04-01
JT Donors,752.00000,0.00000,752.00,2021-06-01
Carlsbad Donors,753.00000,0.00000,753.00,2024-05-01
Espanola Donors,754.00000,0.00000,754.00,2024-04-01
ROS Donors,772.00000,0.00000,772.00,2021-09-01
JT Donors,774.00000,0.00000,774.00,2021-03-01
Espanola Donors,775.00000,0.00000,775.00,2022-08-01
Espanola Donors,780.00000,0.00000,780.00,2022-03-01
ROS Donors,782.00000,0.00000,782.00,2021-04-01
Espanola Donors,783.00000,0.00000,783.00,2021-12-01
ROS Donors,799.00000,0.00000,799.00,2020-02-01
Donors - GoodDeeds,800.00000,0.00000,800.00,2020-07-01
JT Donors,804.00000,0.00000,804.00,2021-07-01
ROS Donors,824.00000,0.00000,824.00,2020-09-01
Espanola Donors,828.00000,0.00000,828.00,2024-05-01
Espanola Donors,833.00000,0.00000,833.00,2024-03-01
Copper Donors,833.00000,0.00000,833.00,2024-03-01
JT Donors,839.00000,0.00000,839.00,2020-12-01
Copper Donors,840.00000,0.00000,840.00,2024-02-01
RB Donors,840.00000,0.00000,840.00,2020-03-01
ROS Donors,841.00000,0.00000,841.00,2022-04-01
ROS Donors,844.00000,0.00000,844.00,2020-12-01
Espanola Donors,847.00000,0.00000,847.00,2024-02-01
ROS Donors,848.00000,0.00000,848.00,2019-04-01
ROS Donors,848.00000,0.00000,848.00,2019-09-01
ROS Donors,848.00000,0.00000,848.00,2021-01-01
CLV Donors,848.00000,0.00000,848.00,2023-02-01
JT Donors,850.00000,0.00000,850.00,2021-01-01
LL Donors,851.00000,0.00000,851.00,2020-05-01
Espanola Donors,856.00000,0.00000,856.00,2022-12-01
ROS Donors,858.00000,0.00000,858.00,2019-08-01
JT Donors,863.00000,0.00000,863.00,2021-05-01
ROS Donors,867.00000,0.00000,867.00,2021-11-01
CLV Donors,869.00000,0.00000,869.00,2021-02-01
FRM Donors,"4,480.00000",0.00000,"4,480.00",
LL Donors,869.00000,0.00000,869.00,2019-01-01
FRM Donors,"4,403.00000",0.00000,"4,403.00",
FRM Donors,"4,486.00000",0.00000,"4,486.00",
Espanola Donors,890.00000,0.00000,890.00,2022-10-01
PDN Donors,"4,784.00000",0.00000,"4,784.00",
ROS Donors,904.00000,0.00000,904.00,2021-03-01
ROS Donors,906.00000,0.00000,906.00,2019-11-01
Copper Donors,907.00000,0.00000,907.00,2024-04-01
PDN Donors,"4,253.00000",0.00000,"4,253.00",
LL Donors,910.00000,0.00000,910.00,2019-04-01
ROS Donors,915.00000,0.00000,915.00,2019-02-01
CLV Donors,918.00000,0.00000,918.00,2020-02-01
ROS Donors,920.00000,0.00000,920.00,2019-10-01
Espanola Donors,924.00000,0.00000,924.00,2024-01-01
ECM Donors,1.00000,0.00000,1.00,
ECM Donors,42.00000,0.00000,42.00,
ROS Donors,926.00000,0.00000,926.00,2020-08-01
CLV Donors,934.00000,0.00000,934.00,2019-02-01
CLV Donors,936.00000,0.00000,936.00,2024-02-01
Espanola Donors,938.00000,0.00000,938.00,2023-12-01
JT Donors,951.00000,0.00000,951.00,2020-08-01
CLV Donors,953.00000,0.00000,953.00,2022-04-01
CLV Donors,955.00000,0.00000,955.00,2021-11-01
JT Donors,959.00000,0.00000,959.00,2020-10-01
ROS Donors,961.00000,0.00000,961.00,2022-05-01
Lomas Donors,961.00000,0.00000,961.00,2023-11-01
Home Pickup and Community Works Donors,71.00000,0.00000,71.00,
Home Pickup and Community Works Donors,72.00000,0.00000,72.00,
Home Pickup and Community Works Donors,66.00000,0.00000,66.00,
Home Pickup and Community Works Donors,75.00000,0.00000,75.00,
ROS Donors,964.00000,0.00000,964.00,2023-02-01
ROS Donors,966.00000,0.00000,966.00,2019-05-01
ROS Donors,971.00000,0.00000,971.00,2019-01-01
Espanola Donors,971.00000,0.00000,971.00,2023-01-01
CLV Donors,981.00000,0.00000,981.00,2022-02-01
GLP Donors,982.00000,0.00000,982.00,2020-11-01
ROS Donors,983.00000,0.00000,983.00,2022-08-01
ROS Donors,985.00000,0.00000,985.00,2019-06-01
ROS Donors,985.00000,0.00000,985.00,2022-02-01
LL Donors,987.00000,0.00000,987.00,2019-03-01
CLV Donors,988.00000,0.00000,988.00,2023-10-01
CLV Donors,989.00000,0.00000,989.00,2022-08-01
CLV Donors,992.00000,0.00000,992.00,2024-04-01
ROS Donors,992.00000,0.00000,992.00,2021-05-01
ROS Donors,999.00000,0.00000,999.00,2019-12-01
Copper Donors,544.00000,0.00000,544.00,
LL Donors,999.00000,0.00000,999.00,2019-08-01
ROS Donors,"1,000.00000",0.00000,"1,000.00",2020-07-01
GLP Donors,"1,003.00000",0.00000,"1,003.00",2020-03-01
LL Donors,"1,005.00000",0.00000,"1,005.00",2019-11-01
Carlsbad Donors,343.00000,0.00000,343.00,
LL Donors,"1,014.00000",0.00000,"1,014.00",2019-09-01
SM Donors,"4,273.00000",0.00000,"4,273.00",
CLV Donors,"1,019.00000",0.00000,"1,019.00",2022-11-01
SM Donors,"4,545.00000",0.00000,"4,545.00",
